Question	Answer 1	Answer 2	Answer 3	Answer 4	Time limit (seconds)	Correct answer(s)	Image link
In Scream (1996), what mask does Ghostface wear?	White ghost mask	Hockey mask	Leatherface mask	Clown mask	20	1	https://image.tmdb.org/t/p/w342/rwEtK0YLHLzT13uPtXyXCHoWMwR.jpg
The Sixth Sense (1999): "I see ___ people."	dead	angry	famous	invisible	20	1	https://image.tmdb.org/t/p/w342/vOyfUXNFSnaTk7Vk5AjpsKTUWsu.jpg
Saw (2004): the creepy puppet on the tricycle is named…	Billy	Chucky	Jigsaw Jr.	Bobby	20	1	https://image.tmdb.org/t/p/w342/3i6Av4EjzAW30fd73vkv0DDdjyV.jpg
In The Ring (2002), how many days after the tape do you have?	7 days	3 days	13 days	24 hours	20	1	https://image.tmdb.org/t/p/w342/AeRpUynJKDpJveklBJipOYrVxCS.jpg
Halloween: what is the killer's name?	Michael Myers	Jason Voorhees	Freddy Krueger	Leatherface	20	1	https://image.tmdb.org/t/p/w342/wijlZ3HaYMvlDTPqJoTCWKFkCPU.jpg
A Nightmare on Elm Street: the villain haunts you in…	Your dreams	Your mirror	Your basement	Your phone	20	1	https://image.tmdb.org/t/p/w342/wGTpGGRMZmyFCcrY2YoxVTIBlli.jpg
It (2017): the clown's name is…	Pennywise	Captain Spaulding	Twisty	Art	20	1	https://image.tmdb.org/t/p/w342/9E2y5Q7WlCVNEhP5GiVTjhEhx1o.jpg
Get Out (2017): Missy traps minds using a…	Teacup and spoon	Pocket watch	Hypno app	VR headset	30	1	https://image.tmdb.org/t/p/w342/tFXcEccSQMf3lfhfXKSU9iRBpa3.jpg
A Quiet Place: the creatures hunt using…	Sound	Smell	Heat vision	Moonlight	20	1	https://image.tmdb.org/t/p/w342/nAU74GmpUk7t5iklEp3bufwDq4n.jpg
Hereditary (2018): the cult worships which demon king?	Paimon	Bael	Asmodeus	Lucifer	30	1	https://image.tmdb.org/t/p/w342/4GFPuL14eXi66V96xBWY73Y9PfR.jpg
Midsommar (2019) takes place mostly in…	Sweden	Norway	Iceland	Finland	20	1	https://image.tmdb.org/t/p/w342/7LEI8ulZzO5gy9Ww2NVCrKmHeDZ.jpg
Alien (1979): "In space no one can hear you ___"	scream	breathe	think	sleep	20	1	https://image.tmdb.org/t/p/w342/vfrQk5IPloGg1v9Rzbh2Eg3VGyM.jpg
The Shining: what is the haunted hotel called?	The Overlook	The Blackthorne	The Red Lion	The Timberline	20	1	https://image.tmdb.org/t/p/w342/uAR0AWqhQL1hQa69UDEbb2rE5Wx.jpg
28 Days Later: the infected are driven by…	Rage	Hunger	Fear	Greed	20	1	https://image.tmdb.org/t/p/w342/sQckQRt17VaWbo39GIu0TMOiszq.jpg
