frequency_tier,major_group,subgroup,top,morpheme,gloss_or_meaning,origin,notes
meta,Meta,How_to_read,Helper,(see column meanings),frequency_tier: 1=most common everyday; 2=high; 3=general; 4=common in academic/technical text; 5=specialized. major_group: Free_Lexical | Free_Functional | Bound_Greek | Bound_Latin | Bound_Germanic | Frankish_or_Continental_WG,"This file is a condensed morphological reference, not a linguistically exhaustive corpus inventory.","category: Entity (beings/roles/institutions); Location (places/regions/spatial-temporal frames); Object (physical items/substances); Helper (function words, adverb-like support); Tracker (actions/processes, verb-like); Secret (properties/qualities, adjective-like). Many English words are polymorphemic; listed bases/affixes are representative. Etymologies simplify complex borrowing chains."
1,Free_Functional,determiner_article,Helper,a,indefinite article (before consonant sound),Old English,
1,Free_Functional,determiner_article,Helper,an,indefinite article (before vowel sound),Old English,
1,Free_Functional,determiner_article,Helper,the,definite article,Old English,
1,Free_Functional,pronoun,Entity,I,1st singular subject pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,me,1st singular object pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,my,1st singular possessive determiner,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,mine,1st singular possessive pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,we,1st plural subject pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,us,1st plural object pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,our,1st plural possessive determiner,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,ours,1st plural possessive pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,you,2nd pronoun (subject/object),Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,your,2nd possessive determiner,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,yours,2nd possessive pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,he,3rd masc. subject pronoun,Old English (they/them/their early Scandinavian influence),
1,Free_Functional,pronoun,Entity,him,3rd masc. object pronoun,Old English (they/them/their early Scandinavian influence),
